sample,fastq_1,fastq_2,strandedness
Clone_01,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_1_S1_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_1_S1_L001_R2_001.fastq.gz,auto
Clone_01,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_1_S1_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_1_S1_L002_R2_001.fastq.gz,auto
Clone_02,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_2_S2_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_2_S2_L001_R2_001.fastq.gz,auto
Clone_02,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_2_S2_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_2_S2_L002_R2_001.fastq.gz,auto
Clone_03,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_3_S3_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_3_S3_L001_R2_001.fastq.gz,auto
Clone_03,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_3_S3_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_3_S3_L002_R2_001.fastq.gz,auto
Clone_06,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_6_S4_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_6_S4_L001_R2_001.fastq.gz,auto
Clone_06,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_6_S4_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_6_S4_L002_R2_001.fastq.gz,auto
Clone_11,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_11_S5_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_11_S5_L001_R2_001.fastq.gz,auto
Clone_11,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_11_S5_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_11_S5_L002_R2_001.fastq.gz,auto
Clone_12,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_12_S6_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_12_S6_L001_R2_001.fastq.gz,auto
Clone_12,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_12_S6_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_12_S6_L002_R2_001.fastq.gz,auto
Clone_13,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_13_S7_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_13_S7_L001_R2_001.fastq.gz,auto
Clone_13,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_13_S7_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_13_S7_L002_R2_001.fastq.gz,auto
Clone_14,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_14_S8_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_14_S8_L001_R2_001.fastq.gz,auto
Clone_14,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_14_S8_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_14_S8_L002_R2_001.fastq.gz,auto
Clone_17,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_17_S9_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_17_S9_L001_R2_001.fastq.gz,auto
Clone_17,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_17_S9_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_17_S9_L002_R2_001.fastq.gz,auto
Clone_21,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_21_S10_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_21_S10_L001_R2_001.fastq.gz,auto
Clone_21,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_21_S10_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_21_S10_L002_R2_001.fastq.gz,auto
Clone_23,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_23_S11_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_23_S11_L001_R2_001.fastq.gz,auto
Clone_23,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_23_S11_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_23_S11_L002_R2_001.fastq.gz,auto
Clone_24,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_24_S12_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_24_S12_L001_R2_001.fastq.gz,auto
Clone_24,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_24_S12_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_24_S12_L002_R2_001.fastq.gz,auto
Clone_25,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_25_S13_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_25_S13_L001_R2_001.fastq.gz,auto
Clone_25,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_25_S13_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_25_S13_L002_R2_001.fastq.gz,auto
Clone_26,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_26_S14_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_26_S14_L001_R2_001.fastq.gz,auto
Clone_26,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_26_S14_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_26_S14_L002_R2_001.fastq.gz,auto
Clone_27,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_27_S15_L001_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_27_S15_L001_R2_001.fastq.gz,auto
Clone_27,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_27_S15_L002_R1_001.fastq.gz,/projects/b1042/GoyalLab/egrody/20240925_LD02/Emmie/Emmie_27_S15_L002_R2_001.fastq.gz,auto